"DOPLogNumber","Project","GearType","Year","Month","Date","Station","SerialNumber","Species","Time","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","GutContents","ForkLength","TotalGutContentWeight","FullnessRank","DigestionRank","Debris (sand/silt/mud)","Stomach/Gut Tissue","Unid animal material","Unid plant material"
1,"EDSM","KT",2017,8,8/10/2017 0:00:00,"18-02-CS01","E1","DELSME",12/30/1899 8:30:00,,22.89,246.00,0.10,,,,50.00,21.20,0.38,"Y",45.00,,2,3,,,1,
2,"EDSM","KT",2017,8,8/15/2017 0:00:00,"18-03-SSC02","E2","DELSME",12/30/1899 11:51:00,,22.79,418.79,0.18,,,,28.00,39.70,0.75,"Y",54.00,3.55e-03,2,3,,,1,
3,"EDSM","KT",2017,8,8/21/2017 0:00:00,"18-04-LSR03","E3","DELSME",12/30/1899 8:42:00,,20.89,2632.00,1.33,,,,44.99,24.60,0.76,"y",48.00,3.96e-03,2,2,1,,,1
4,"EDSM","KT",2017,8,8/22/2017 0:00:00,"18-04-SSC02","E4","DELSME",12/30/1899 10:30:00,,22.89,1420.00,0.69,,,,30.00,56.29,0.50,"y",49.00,1.4e-03,1,2,,,1,1
5,"EDSM","KT",2017,8,8/28/2017 0:00:00,"18-05-LSR02","E5","DELSME",12/30/1899 8:38:00,,21.89,902.00,0.42,,,,52.99,23.50,0.88,"y",51.00,,2,2,1,,1,
7,"EDSM","KT",2017,9,9/8/2017 0:00:00,"18-06-LSR01","E7","DELSME",12/30/1899 8:49:00,,22.29,1976.00,0.98,,,,56.99,19.10,1.06,"y",55.00,,3,3,,,1,
9,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E9","DELSME",12/30/1899 9:45:00,,20.89,159.10,0.06,,,,57.99,16.20,0.72,"y",48.00,3.77e-03,2,2,1,,,
10,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E10","DELSME",12/30/1899 9:45:00,,20.89,159.10,0.06,,,,57.99,16.20,1.03,"y",56.00,,3,3,,,,1
12,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E12","DELSME",12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56.00,19.79,1.06,"y",55.00,,3,3,,,1,
15,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E15","DELSME",12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56.00,19.79,0.64,"y",47.00,,1,2,1,,,
16,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E16","DELSME",12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56.00,19.79,0.70,"y",49.00,,1,2,,,1,
19,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E19","DELSME",12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56.00,19.79,0.48,"n",42.00,,0,,1,,,
22,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR02","E22","DELSME",12/30/1899 11:08:00,,21.39,435.89,0.19,,,,54.00,21.20,0.62,"y",45.00,3.73e-03,2,3,,,1,
24,"EDSM","KT",2017,9,9/18/2017 0:00:00,"18-08-LSR01","E24","DELSME",12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56.00,19.79,1.29,"y",55.00,,3,3,,,1,
25,"EDSM","KT",2017,9,9/29/2017 0:00:00,"18-09-LSR01","E25","DELSME",12/30/1899 8:09:00,,18.89,157.39,0.06,,,,107.00,9.68,1.19,"y",56.00,,1,3,1,,,
26,"EDSM","KT",2017,10,10/4/2017 0:00:00,"18-10-LSR06","E26","DELSME",12/30/1899 8:36:00,,18.39,886.00,0.41,,,,51.99,20.39,1.37,"y",62.00,8.42e-03,1,2,1,,,1
27,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E27","DELSME",12/30/1899 8:09:00,,16.70,118.30,0.04,,,,52.99,46.09,0.94,"y",53.00,,3,3,,,,1
29,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E29","DELSME",12/30/1899 8:09:00,,16.70,118.30,0.04,,,,52.99,46.09,0.90,"Y",53.00,6.18e-03,2,2,,,,1
30,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E30","DELSME",12/30/1899 8:09:00,,16.70,118.30,0.04,,,,52.99,46.09,0.73,"y",49.00,3.19e-03,4,3,,,,1
31,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E31","DELSME",12/30/1899 8:09:00,,16.70,118.30,0.04,,,,52.99,46.09,0.44,"y",44.00,2.17e-03,2,3,1,,,
41,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E41","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,0.83,"y",53.00,,3,3,,,,1
44,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E44","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.48,"y",63.00,,4,3,,,,1
45,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E45","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.19,"Y",59.00,,4,3,,,,1
48,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E48","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,0.98,"y",55.00,,1,2,,,1,
49,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E49","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.19,"y",59.00,,2,2,1,,,1
51,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E51","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,0.97,"Y",59.00,,2,3,1,,,
53,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E53","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.16,"y",60.00,,3,2,1,,,1
55,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E55","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.39,"y",62.00,,2,3,,,,1
56,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E56","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,0.91,"y",54.00,,3,2,1,,1,
58,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR01","E58","DELSME",12/30/1899 8:39:00,,16.79,137.00,0.05,,,,51.99,36.09,1.11,"y",57.00,,4,3,,,,1
59,"EDSM","KT",2017,10,10/10/2017 0:00:00,"18-11-LSR02","E59","DELSME",12/30/1899 9:27:00,,,,,,,,,,1.64,"y",61.00,,4,2,,,,1
62,"EDSM","KT",2017,8,8/11/2017 0:00:00,"18-02-SBM04","E152","DELSME",12/30/1899 10:13:00,,22.20,6152.00,3.32,,,,46.99,48.29,0.43,"y",40.00,,4,2,,,,1
63,"EDSM","KT",2017,8,8/11/2017 0:00:00,"18-02-SBM04","E153","DELSME",12/30/1899 10:13:00,,22.20,6152.00,3.32,,,,46.99,48.29,1.76,"y",64.00,1.27e-03,1,2,1,,,
64,"EDSM","KT",2017,8,8/16/2017 0:00:00,"18-03-SM02","E154","DELSME",12/30/1899 8:48:00,,19.79,8679.00,4.81,,,,31.99,55.29,0.71,"y",50.00,,3,2,1,,,
65,"EDSM","KT",2017,8,8/16/2017 0:00:00,"18-03-SM02","E155","DELSME",12/30/1899 8:48:00,,19.79,8679.00,4.81,,,,31.99,55.29,0.61,"y",45.00,,3,2,,,,1
66,"EDSM","KT",2017,8,8/16/2017 0:00:00,"18-03-SM02","E156","DELSME",12/30/1899 9:01:00,,20.29,9358.00,5.22,,,,31.00,83.59,0.78,"y",49.00,,4,2,,,,2
67,"EDSM","KT",2017,8,8/16/2017 0:00:00,"18-03-HB01","E157","DELSME",12/30/1899 12:08:00,,21.50,3235.00,1.66,,,,63.99,20.20,1.10,"y",52.00,,3,3,,,1,
68,"EDSM","KT",2017,8,8/22/2017 0:00:00,"18-04-SBM05","E158","DELSME",12/30/1899 9:05:00,,20.00,10399.00,5.85,,,,25.99,63.29,0.65,"y",45.00,,3,3,,,1,1
70,"EDSM","KT",2017,8,8/22/2017 0:00:00,"18-04-SBM05","E160","DELSME",12/30/1899 9:05:00,,20.00,10399.00,5.85,,,,25.99,63.29,0.84,"y",50.00,,3,2,1,,,2
71,"EDSM","KT",2017,8,8/22/2017 0:00:00,"18-04-SBM05","E161","DELSME",12/30/1899 9:05:00,,20.00,10399.00,5.85,,,,25.99,63.29,1.33,"y",58.00,,3,3,,,,1
72,"EDSM","KT",2017,8,8/22/2017 0:00:00,"18-04-SBM05","E162","DELSME",12/30/1899 9:49:00,,20.29,9050.00,5.04,,,,25.00,80.80,1.28,"y",58.00,,1,3,,,,1
77,"EDSM","KT",2017,9,9/7/2017 0:00:00,"18-06-SBM02","E167","DELSME",12/30/1899 11:01:00,,22.79,8813.00,4.89,,,,28.99,85.19,0.62,"y",47.00,,2,2,,,,1
79,"EDSM","KT",2017,9,9/11/2017 0:00:00,"18-07-SBM02","E169","DELSME",12/30/1899 9:35:00,,22.29,11854.00,6.74,,,,43.99,27.79,0.89,"y",47.00,,4,2,,,1,1
81,"EDSM","KT",2017,9,9/12/2017 0:00:00,"18-07-SBM03","E171","DELSME",12/30/1899 9:06:00,,22.29,9199.00,5.13,,,,46.00,36.29,0.91,"y",51.00,,2,2,,,1,1
83,"EDSM","KT",2017,9,9/20/2017 0:00:00,"18-08-SBM01","E173","DELSME",12/30/1899 13:32:00,,20.10,7555.00,4.15,,,,31.99,79.50,0.68,"y",48.00,,2,2,1,,,
84,"EDSM","KT",2017,9,9/27/2017 0:00:00,"18-09-SBM01","E174","DELSME",12/30/1899 9:17:00,,19.70,5271.00,2.81,,,,50.00,31.79,1.64,"y",60.00,,1,3,,,1,1
85,"EDSM","KT",2017,9,9/29/2017 0:00:00,"18-09-SBM02","E175","DELSME",12/30/1899 9:22:00,,19.70,4890.00,2.59,,,,81.99,13.10,1.10,"y",58.00,7.95e-03,3,3,1,,,1
87,"EDSM","KT",2017,10,10/17/2017 0:00:00,"18-12-SM01","E177","DELSME",12/30/1899 10:13:00,6.55,17.00,8184.00,4.52,,,,34.99,56.29,0.41,"y",45.00,4.38e-03,4,3,,,1,
88,"EDSM","KT",2017,10,10/23/2017 0:00:00,"18-13-LSR01","E61","DELSME",12/30/1899 8:21:00,6.60,16.20,868.00,0.40,,,,41.99,23.70,1.05,"y",55.00,,1,2,1,,,
111,"EDSM","KT",2018,8,8/1/2018 0:00:00,"18-53-LSSC01","E78","DELSME",12/30/1899 9:41:00,11.30,23.89,755.00,0.35,,,,43.00,28.79,0.96,"y",55.00,5.21e-03,1,3,,,1,
122,"EDSM","KT",2018,8,8/20/2018 0:00:00,"19-04-LSSC05","E89","DELSME",12/30/1899 10:44:00,10.40,22.39,406.70,0.18,,,,40.00,34.29,0.51,"y",41.00,4.19e-03,2,3,,,1,
124,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E91","DELSME",12/30/1899 13:03:00,4.20,21.39,325.10,0.14,,,,31.00,30.60,0.84,"y",51.00,,4,3,,,1,
125,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E92","DELSME",12/30/1899 13:18:00,5.50,21.50,321.00,0.14,,,,40.00,29.39,0.90,"y",48.00,,4,4,,,1,
126,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E93","DELSME",12/30/1899 13:18:00,5.50,21.50,321.00,0.14,,,,40.00,29.39,0.92,"y",49.00,0.01,4,4,,,1,
127,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E94","DELSME",12/30/1899 13:18:00,5.50,21.50,321.00,0.14,,,,40.00,29.39,0.79,"y",48.00,5.8e-03,3,4,,,1,
128,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E95","DELSME",12/30/1899 13:18:00,5.50,21.50,321.00,0.14,,,,40.00,29.39,0.51,"y",40.00,6.52e-03,4,4,,,1,
130,"EDSM","KT",2018,8,8/27/2018 0:00:00,"19-05-LSSC05","E97","DELSME",12/30/1899 13:18:00,5.50,21.50,321.00,0.14,,,,40.00,29.39,0.70,"y",44.00,1.25e-03,4,4,,,1,
131,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E98","DELSME",12/30/1899 11:15:00,10.20,21.39,395.79,0.17,,,,36.00,29.60,0.93,"y",52.00,9.48e-03,3,4,,,1,
135,"EDSM","KT",2018,7,7/17/2018 0:00:00,"18-51-CF02","E185","DELSME",12/30/1899 11:22:00,15.70,21.39,4973.00,2.64,,,,46.00,50.90,0.91,"y",46.00,,2,3,,,1,
140,"EDSM","KT",2018,9,9/7/2018 0:00:00,"19-06-GB01","E190","DELSME",12/30/1899 8:27:00,2.60,19.29,12772.00,7.31,,,,18.99,76.09,0.85,"y",51.00,3.7e-03,1,2,,,,1
145,"EDSM","KT",2018,8,8/13/2018 0:00:00,"19-03-LSR01","E301","DELSME",12/30/1899 9:18:00,5.90,21.70,5775.00,3.10,,,,23.00,63.59,1.75,"y",61.00,6.93e-03,2,2,,,,1
151,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E100","DELSME",12/30/1899 11:15:00,10.20,21.39,395.79,0.17,,,,36.00,29.60,0.88,"y",51.00,0.01,4,3,,,1,
152,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E101","DELSME",12/30/1899 11:15:00,10.20,21.39,395.79,0.17,,,,36.00,29.60,0.91,"y",54.00,6.22e-03,3,3,,,1,
153,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E102","DELSME",12/30/1899 11:15:00,10.20,21.39,395.79,0.17,,,,36.00,29.60,1.25,"y",56.00,0.01,3,3,,,1,
154,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E103","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.54,"y",44.00,3.9e-03,3,3,,,1,
155,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E104","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.84,"y",51.00,8.03e-03,3,3,,,1,
157,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E106","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.94,"y",53.00,8.34e-03,2,3,,,1,
158,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E107","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,1.02,"y",54.00,0.01,4,4,,,1,
159,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E108","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.72,"y",48.00,4.8e-03,3,4,,,1,
160,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E109","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.82,"y",50.00,5.74e-03,3,4,,,1,
161,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E110","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.75,"y",47.00,6.99e-03,2,4,,,1,
162,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E111","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.76,"y",49.00,9.22e-03,3,3,,,1,
163,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E112","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.86,"y",50.00,5.57e-03,3,2,,,1,
169,"EDSM","KT",2018,9,9/20/2018 0:00:00,"19-08-LSSC03","E123","DELSME",12/30/1899 8:25:00,10.00,20.20,417.50,0.18,,,,44.99,18.79,0.91,"y",51.00,4.86e-03,1,3,,,1,
170,"EDSM","KT",2018,9,9/26/2018 0:00:00,"19-09-LSSC05","E124","DELSME",12/30/1899 10:17:00,10.20,20.70,388.29,0.17,,,,31.99,40.50,1.04,"y",52.00,8.07e-03,3,4,,,1,
172,"EDSM","KT",2018,9,9/26/2018 0:00:00,"19-09-LSSC05","E126","DELSME",12/30/1899 10:17:00,10.20,20.70,388.29,0.17,,,,31.99,40.50,0.75,"y",48.00,4.82e-03,2,4,,,1,
173,"EDSM","KT",2018,9,9/26/2018 0:00:00,"19-09-LSSC05","E127","DELSME",12/30/1899 10:17:00,10.20,20.70,388.29,0.17,,,,31.99,40.50,0.56,"y",44.00,6.07e-03,2,2,,,1,
175,"EDSM","KT",2018,9,9/27/2018 0:00:00,"19-09-LSSC02","E129","DELSME",12/30/1899 9:21:00,10.60,20.79,431.29,0.19,,,,38.99,33.40,1.03,"y",50.00,8.73e-03,2,4,,,1,
177,"EDSM","KT",2018,9,9/27/2018 0:00:00,"19-09-LSSC02","E131","DELSME",12/30/1899 9:21:00,10.60,20.79,431.29,0.19,,,,38.99,33.40,0.93,"y",48.00,5.81e-03,3,4,,,1,
178,"EDSM","KT",2018,9,9/27/2018 0:00:00,"19-09-LSSC02","E132","DELSME",12/30/1899 9:21:00,10.60,20.79,431.29,0.19,,,,38.99,33.40,0.61,"y",44.00,5.59e-03,3,4,,,1,
179,"EDSM","KT",2018,9,9/27/2018 0:00:00,"19-09-LSSC02","E133","DELSME",12/30/1899 9:21:00,10.60,20.79,431.29,0.19,,,,38.99,33.40,0.50,"y",41.00,4.84e-03,2,4,,,1,
181,"EDSM","KT",2018,9,9/27/2018 0:00:00,"19-09-LSSC02","E135","DELSME",12/30/1899 9:21:00,10.60,20.79,431.29,0.19,,,,38.99,33.40,0.98,"y",50.00,0.01,3,3,,,1,
183,"EDSM","KT",2018,10,10/4/2018 0:00:00,"19-10-LSSC01","E137","DELSME",12/30/1899 8:12:00,8.90,20.60,509.00,0.23,,,,37.99,21.89,0.86,"y",49.00,7.32e-03,3,4,,,1,1
196,"EDSM","KT",2018,11,11/7/2018 0:00:00,"19-15-SM01","E191","DELSME",12/30/1899 10:10:00,5.70,16.89,8411.00,4.65,,,,40.00,30.10,1.62,"y",61.00,0.03,4,2,,,,1
198,"EDSM","KT",2018,11,11/26/2018 0:00:00,"19-18-SM02","E193","DELSME",12/30/1899 11:03:00,5.60,12.60,10239.00,5.75,,,,25.00,51.79,1.77,"y",60.00,0.04,4,3,,,1,
