"DOPLogNumber","Project","GearType","Year","Month","Date","Station","SerialNumber","Species","Time","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","GutContents","ForkLength","TotalGutContentWeight","FullnessRank","DigestionRank","Debris (sand/silt/mud)","Stomach/Gut Tissue","Unid animal material","Unid plant material"
202,"EDSM","KT",2018,10,10/9/2018 0:00:00,"19-11-LSR01","E324","DELSME",12/30/1899 8:28:00,8.80,18.70,4065.00,2.13,,,,94.99,16.10,1.33,"y",60.00,0.01,2,2,,,1,
204,"EDSM","KT",2018,10,10/30/2018 0:00:00,"19-14-LSR02","E326","DELSME",12/30/1899 9:48:00,10.50,17.00,2606.00,1.32,,,,46.99,24.60,1.61,"y",61.00,,1,2,,,1,
205,"EDSM","KT",2018,11,11/29/2018 0:00:00,"19-18-LSR03","E395","DELSME",12/30/1899 9:20:00,5.70,13.19,6312.00,3.42,,,,94.99,14.00,1.71,"y",64.00,0.01,3,3,,,1,
208,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E398","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,1.27,"y",56.00,8.53e-03,2,3,,,1,1
209,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E399","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,0.82,"y",49.00,6.19e-03,2,3,,,1,
212,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E402","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,0.78,"y",49.00,2.13e-03,2,3,,,1,
213,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E403","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,0.76,"y",49.00,4.01e-03,2,3,,,1,
215,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E405","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,1.17,"y",56.00,7.42e-03,3,3,,,1,
216,"EDSM","KT",2018,10,10/17/2018 0:00:00,"19-12-LSSC04","E406","DELSME",12/30/1899 12:41:00,11.00,18.10,337.70,0.14,,,,28.99,49.20,1.12,"y",52.00,4.73e-03,1,4,,,1,
219,"EDSM","KT",2018,11,11/1/2018 0:00:00,"19-14-LSSC06","E409","DELSME",12/30/1899 7:51:00,8.50,16.89,580.00,0.26,,,,34.00,20.70,0.94,"y",57.00,6.62e-03,1,4,,,1,
223,"EDSM","KT",2018,11,11/7/2018 0:00:00,"19-15-LSSC01","E413","DELSME",12/30/1899 8:15:00,9.15,16.39,494.00,0.22,,,,36.00,26.70,0.99,"y",53.00,5.16e-03,2,3,,,1,
224,"EDSM","KT",2018,11,11/7/2018 0:00:00,"19-15-LSSC01","E414","DELSME",12/30/1899 8:32:00,10.20,16.50,519.00,0.23,,,,37.00,31.39,0.86,"y",50.00,5.05e-03,2,4,,,1,
240,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E113","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.74,"y",47.00,6.37e-03,3,3,,,1,
242,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E115","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.37,"y",39.00,4.55e-03,3,3,,,1,
243,"EDSM","KT",2018,9,9/10/2018 0:00:00,"19-07-LSSC02","E116","DELSME",12/30/1899 11:31:00,10.20,21.50,406.20,0.18,,,,33.00,32.09,0.44,"y",51.00,4.22e-03,2,4,,,1,
248,"EDSM","KT",2019,8,8/16/2019 0:00:00,"20-03-LSSC02","E468","DELSME",12/30/1899 8:43:00,11.30,24.79,584.00,0.26,,,,47.99,25.60,0.72,"N",51.00,,0,,,,1,
250,"EDSM","KT",2019,8,8/16/2019 0:00:00,"20-03-LSSC02","E471","DELSME",12/30/1899 8:43:00,11.30,24.79,584.00,0.26,,,,47.99,25.60,0.41,"Y",41.00,1.76e-03,1,2,,,1,
258,"EDSM","KT",2019,7,7/30/2019 0:00:00,"19-53-LSSC04","E571","DELSME",12/30/1899 11:39:00,7.50,23.79,210.00,0.08,,,,70.99,57.90,0.61,"y",43.00,5.99e-03,3,2,,,,1
260,"EDSM","KT",2019,7,7/29/2019 0:00:00,"19-53-LSSC02","E568","DELSME",12/30/1899 10:50:00,10.10,24.39,706.00,0.32,,,,47.99,23.79,0.33,"Y",39.00,3.17e-03,4,2,,,1,
261,"EDSM","KT",2019,7,7/5/2019 0:00:00,"19-49-SBM02","E194","DELSME",12/30/1899 9:28:00,14.80,20.70,4930.00,2.62,,,,28.99,47.09,0.45,"Y",38.00,4.91e-03,3,1,,,1,
262,"EDSM","KT",2019,7,7/15/2019 0:00:00,"19-51-HB01","E195","DELSME",12/30/1899 9:25:00,,,,,,,,,,1.19,"y",56.00,3.19e-03,1,2,,,1,
290,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC01","E431","DELSME",12/30/1899 9:50:00,10.30,22.39,576.00,0.26,,,,49.00,37.70,0.52,"N",42.00,,0,,,,1,
297,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC01","E440","DELSME",12/30/1899 9:50:00,10.30,22.39,576.00,0.26,,,,49.00,37.70,0.44,"N",40.00,3.8e-04,0,4,,,1,
302,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC01","E445","DELSME",12/30/1899 9:50:00,10.30,22.39,576.00,0.26,,,,49.00,37.70,0.47,"n",40.00,,0,,,,1,
310,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC02","E453","DELSME",12/30/1899 11:34:00,9.80,22.60,507.39,0.22,,,,51.99,40.20,0.90,"y",50.00,0.01,2,2,,,1,
312,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC02","E455","DELSME",12/30/1899 11:34:00,9.80,22.60,507.39,0.22,,,,51.99,40.20,0.68,"y",45.00,5.14e-03,2,2,,,1,
314,"EDSM","KT",2019,7,7/3/2019 0:00:00,"19-49-LSSC02","E459","DELSME",12/30/1899 11:34:00,9.80,22.60,507.39,0.22,,,,51.99,40.20,1.14,"y",54.00,0.01,3,3,,,1,
323,"EDSM","KT",2019,7,7/24/2019 0:00:00,"19-52-LSSC03","E550","DELSME",12/30/1899 9:43:00,10.70,23.60,507.00,0.22,,,,36.00,34.59,0.84,"y",51.00,3.62e-03,2,3,,,,1
335,"EDSM","KT",2019,7,7/8/2019 0:00:00,"19-50-LSSC02","E562","DELSME",12/30/1899 8:26:00,10.60,22.29,522.00,0.23,,,,52.99,50.40,0.41,"y",39.00,2.15e-03,2,2,,,1,
339,"EDSM","KT",2019,7,7/29/2019 0:00:00,"19-53-LSSC02","E566","DELSME",12/30/1899 10:34:00,9.50,24.39,694.00,0.32,,,,44.99,25.20,0.66,"y",47.00,4.14e-03,1,3,1,,,1
342,"EDSM","KT",2019,9,9/13/2019 0:00:00,"20-07-SBM01","E201","DELSME",12/30/1899 10:04:00,4.40,21.60,1645.00,0.80,,,,30.00,77.30,0.72,"Y",49.00,3.08e-03,2,3,1,,,
344,"EDSM","KT",2019,9,9/17/2019 0:00:00,"20-08-CF01","E203","DELSME",12/30/1899 12:22:00,8.80,21.60,619.00,0.28,,,,46.99,23.60,1.03,"Y",53.00,0.01,4,3,,,1,
351,"EDSM","KT",2019,7,7/30/2019 0:00:00,"19-53-LSSC05","E342","DELSME",12/30/1899 8:31:00,9.70,24.00,709.00,0.32,,,,27.00,54.90,0.76,"Y",50.00,,3,4,,,1,
352,"EDSM","KT",2019,9,9/9/2019 0:00:00,"20-07-LSSC01","E474","DELSME",12/30/1899 8:38:00,8.70,22.79,598.00,0.27,,,,46.99,23.00,0.27,"Y",37.00,3.1e-04,1,3,,,1,1
353,"EDSM","KT",2019,9,9/10/2019 0:00:00,"20-07-LSSC03","E475","DELSME",12/30/1899 11:25:00,10.20,22.39,438.79,0.19,,,,54.00,25.29,0.74,"Y",50.00,,1,3,,,1,
354,"EDSM","KT",2019,10,10/29/2019 0:00:00,"20-14-LSSC05","E476","DELSME",12/30/1899 10:46:00,9.20,15.50,627.00,0.28,,,,21.99,69.59,0.44,"Y",43.00,1.5e-03,1,3,,,1,
360,"ELS","MWT",2019,4,4/23/2019 0:00:00,"19-39-SC01","L0493","DELSME",12/30/1899 10:04:54,9.50,15.40,786.00,0.36,,,,28.00,17.40,0.01,"Y",16.50,,2,2,,,1,
376,"ELS","20mm",2019,4,4/4/2019 0:00:00,"19-36-DI04","L0448","DELSME",12/30/1899 11:42:20,10.45,13.80,136.50,0.05,,,,59.00,28.90,1.6e-03,"y",11.30,,1,3,,,1,
396,"ELS","20mm",2019,5,5/21/2019 0:00:00,"19-43-SC05","L1361","DELSME",12/30/1899 12:27:50,,17.40,730.00,0.33,,,,35.00,47.70,0.13,"Y",27.00,,3,2,,,1,
412,"EDSM","20mm",2020,6,6/2/2020 0:00:00,"20-45-LSSC03","Vial 1","DELSME",12/30/1899 8:25:44,8.38,22.00,506.00,0.22,,,,27.00,48.20,0.44,"Y",38.00,5.42e-03,3,2,,,1,
420,"EDSM","KT",2020,8,8/6/2020 0:00:00,"21-02-LSR03","E207","DELSME",12/30/1899 10:14:00,9.30,21.89,2027.00,1.01,,,,60.00,22.60,0.93,"y",55.00,5.3e-03,3,3,,,,1
421,"EDSM","KT",2020,7,7/8/2020 0:00:00,"20-50-LSR01","E220","DELSME",12/30/1899 10:21:00,8.30,22.10,653.00,0.30,,,,43.99,57.40,0.72,"y",45.00,8.11e-03,2,2,,,,1
426,"EDSM","KT",2020,7,7/6/2020 0:00:00,"20-50-LSSC01","E225","DELSME",12/30/1899 10:07:00,10.30,23.00,205.50,0.08,,,,60.00,21.00,0.66,"y",46.00,2.4e-03,1,2,,,1,
428,"EDSM","KT",2020,7,7/7/2020 0:00:00,"20-50-LSSC05","E227","DELSME",12/30/1899 9:54:00,10.30,22.60,343.50,0.15,,,,30.00,43.20,0.56,"y",43.00,5.7e-03,3,2,,,,1
449,"DJFMP","MWTR",2021,12,12/29/2021 0:00:00,"SB018N","S-1","DELSME",12/30/1899 7:47:00,,8.90,426.20,0.19,,,,27.00,55.40,3.54,"Y",71.00,0.02,3,4,,1,1,
451,"EDSM","KT",2021,12,12/23/2021 0:00:00,"22-21-RV02","S-108","DELSME",,,8.60,410.00,0.18,,,,,37.59,1.24,"Y",53.00,6.23e-03,3,4,,1,,
458,"EDSM","KT",2021,12,12/21/2021 0:00:00,"22-21-USSC02","S-107","DELSME",,,10.60,1113.00,0.53,,,,,15.50,1.85,"Y",54.00,4.51e-03,3,4,,1,,
460,"EDSM","KT",2021,12,12/27/2021 0:00:00,"22-22-LSR01","S-110","DELSME",,,8.80,541.00,0.24,,,,,38.79,4.22,"Y",76.00,4.99e-03,2,3,,,1,
462,"EDSM","KT",2022,1,1/5/2022 0:00:00,"22-23-RV04","S-113","DELSME",12/30/1899 12:04:00,,,,,,,,,,1.71,"Y",62.00,0.02,4,3,,,1,
466,"EDSM","KT",2022,1,1/31/2022 0:00:00,"22-27-LSSC03","S-116","DELSME",,,9.80,639.00,0.29,,,,21.00,75.09,2.58,"Y",70.00,0.01,1,4,,1,,
469,"EDSM","KT",2022,1,1/12/2022 0:00:00,"22-24-LSSC03","S-119","DELSME",,,9.69,232.10,0.09,,,,47.00,32.29,6.63,"Y",86.00,,3,3,,1,1,
472,"CVP",,2022,1,1/16/2022 0:00:00,"CVP","S-401","DELSME",12/30/1899 6:00:00,,9.70,,,,,,,,0.46,"Y",54.00,,2,3,,,,1
473,"EDSM","KT",2021,8,8/20/2021 0:00:00,"22-03-LSSC02","E487","DELSME",12/30/1899 12:45:00,11.10,22.10,323.60,0.14,,,,49.00,25.50,0.81,"Y",52.00,5.68e-03,3,4,,1,,
481,"EDSM","KT",2022,2,2/23/2022 0:00:00,"22-30-SM03","S-008","DELSME",,,10.10,3131.00,1.61,,,,27.00,25.10,3.69,"Y",86.00,0.02,2,4,,,1,
484,"EDSM",,2022,3,3/11/2022 0:00:00,"22-32-SM01","0011","DELSME",,,,,,,,,,,2.33,"Y",,0.02,4,3,,,1,
486,"EDSM","KT",2022,3,3/22/2022 0:00:00,"22-34-SM01","S-13","DELSME",,,15.39,4335.00,2.28,,,,20.00,90.40,2.69,"Y",71.00,0.02,3,3,,,1,
487,"EDSM","KT",2022,3,3/29/2022 0:00:00,"22-35-SM01","S-14","DELSME",,,16.50,7902.00,4.35,,,,17.00,93.69,2.70,"Y",70.00,0.02,3,4,,,1,
488,"EDSM","KT",2022,2,2/24/2022 0:00:00,"22-30-LSSC01","S-120","DELSME",,,11.19,386.79,0.17,,,,44.00,25.60,3.89,"Y",80.00,2.63e-03,2,3,,,,1
489,"EDSM","KT",2022,2,2/24/2022 0:00:00,"22-30-LSSC01","S-121","DELSME",,,11.19,386.79,0.17,,,,44.00,25.60,1.33,"Y",57.00,0.01,2,3,,1,,
490,"EDSM","KT",2022,2,2/24/2022 0:00:00,"22-30-LSSC01","S-122","DELSME",,,11.19,386.79,0.17,,,,44.00,25.60,1.89,"Y",68.00,0.01,3,4,,1,,
491,"EDSM","KT",2022,2,2/24/2022 0:00:00,"22-30-LSSC01","S-123","DELSME",,,11.00,396.50,0.17,,,,40.00,30.10,1.73,"Y",66.00,4.86e-03,1,4,,1,,
496,"EDSM","KT",2022,3,3/8/2022 0:00:00,"22-32-LSSC01","S-128","DELSME",,,12.19,433.89,0.19,,,,37.00,27.20,2.10,"Y",65.00,6.44e-03,2,4,,1,,
497,"EDSM","KT",2022,3,3/8/2022 0:00:00,"22-32-LSSC01","S-129","DELSME",,,12.19,433.89,0.19,,,,37.00,27.20,1.01,"Y",53.00,0.01,3,4,,,1,
499,"EDSM","KT",2022,3,3/8/2022 0:00:00,"22-32-LSSC01","S-131","DELSME",,,12.19,433.89,0.19,,,,37.00,27.20,1.80,"Y",65.00,0.01,2,4,,1,1,
500,"EDSM","KT",2022,3,3/8/2022 0:00:00,"22-32-LSSC01","S-132","DELSME",,,12.19,433.89,0.19,,,,37.00,27.20,3.59,"Y",78.00,9.2e-03,3,4,,1,1,
504,"EDSM","KT",2022,3,3/23/2022 0:00:00,"22-34-USSC01","S-136","DELSME",,,14.50,905.00,0.42,,,,43.00,26.70,2.43,"Y",69.00,,3,3,,,1,
512,"EDSM",,2022,4,4/5/2022 0:00:00,"22-36-SB04","525","DELSME",,,,,,,,,,,7.6e-03,"Y",,,1,2,,,,1
530,"EDSM","KT",2022,8,8/15/2022 0:00:00,"23-03-SSC06","S-204","DELSME",,,23.20,586.00,0.26,,,,18.00,46.50,0.78,"Y",52.00,4.9e-03,3,4,,1,1,1
536,"EDSM",,2022,5,5/3/2022 0:00:00,"22-40-SSC03","434","DELSME",,,,,,,,,,,0.15,"Y",,5.7e-04,2,2,,1,,
537,"EDSM","20mm",2022,4,4/20/2022 0:00:00,"22-38-SM01","1846","DELSME",,,15.80,4914.00,2.61,,,,11.00,115.00,3.5e-03,"Y",15.70,,1,4,,,,1
541,"EDSM","KT",2023,1,1/26/2023 0:00:00,"23-26-CS01","S-209","DELSME",12/30/1899 8:46:00,,8.19,169.60,0.07,,,,14.00,,4.19,"N",80.00,,0,,1,,,
559,"CVP",,2023,1,1/7/2023 0:00:00,"CVP","S-405","DELSME",12/30/1899 14:00:00,,10.50,,,,,,,,1.49,"y",74.00,0.01,3,3,,,1,1
561,"CVP",,2023,2,2/14/2023 0:00:00,"CVP","S-408","DELSME",12/30/1899 14:00:00,,15.00,,,,,,,,0.85,"y",63.00,2.13e-03,1,4,,,1,
562,"CVP",,2023,2,2/13/2023 0:00:00,"CVP","S-409","DELSME",12/30/1899 20:00:00,,12.33,,,,,,,,0.80,"y",59.00,,3,4,,,1,
564,"CVP",,2023,2,2/22/2023 0:00:00,"CVP","S-411","DELSME",12/30/1899 23:59:00,,9.94,,,,,,,,1.06,"y",65.00,,3,4,,,1,
567,"SWP",,2023,2,2/8/2023 0:00:00,"SWP","S-414","DELSME",12/30/1899 17:00:00,,10.55,,,,,,,,1.79,"y",73.00,0.03,4,3,,,1,
576,"EDSM","KT",2023,9,9/25/2023 0:00:00,"24-09-SM02","S-253","DELSME",12/30/1899 8:48:00,,18.79,6651.00,3.61,,,,40.00,,0.64,"y",48.00,6.89e-03,2,2,,,1,
577,"EDSM","KT",2023,9,9/28/2023 0:00:00,"24-09-SB05","S-254","DELSME x WAKASA",12/30/1899 11:04:00,,19.60,9420.00,5.26,,,,31.00,,2.02,"y",70.00,0.01,4,3,,,1,
580,"EDSM","KT",2023,1,1/31/2023 0:00:00,"23-27-LSJ06","S-403","DELSME",12/30/1899 9:18:00,,8.50,242.69,0.10,,,,25.99,,3.15,"Y",73.00,0.01,2,1,,,,1
592,"EDSM",,2024,2,2/5/2024 0:00:00,"24-28-LSJ02","S-522","DELSME",,,,,,,,,,,2.06,"Y",,0.01,2,3,,,1,1
594,"EDSM",,2024,2,2/5/2024 0:00:00,"24-28-LSJ02","S-524","DELSME",,,,,,,,,,,2.42,"Y",,8.42e-03,2,1,,,1,
595,"EDSM",,2024,2,2/8/2024 0:00:00,"24-28-LSJ04","S-525","DELSME",,,,,,,,,,,2.60,"Y",,0.03,4,3,,,,1
596,"EDSM",,2024,2,2/6/2024 0:00:00,"24-28-SM02","S-237","DELSME",,,,,,,,,,,2.66,"Y",,0.02,4,1,,,1,
598,"EDSM",,2024,2,2/5/2024 0:00:00,"24-28-SM01","S-260","DELSME",,,,,,,,,,,1.01,"Y",,8.7e-03,3,3,,,1,
602,"EDSM",,2024,2,2/14/2024 0:00:00,"24-29-SM02","S-239","DELSME",,,,,,,,,,,1.79,"Y",,0.01,3,1,,,1,
603,"EDSM",,2024,2,2/14/2024 0:00:00,"24-29-SM03","S-240","DELSME",,,,,,,,,,,2.09,"y",,0.01,2,2,,,1,
610,"EDSM",,2024,2,2/7/2024 0:00:00,"24-28-SB03","LF-1300","DELSME",,,,,,,,,,,2.90,"y",,6.2e-04,1,0,,,,1
612,"EDSM",,2024,3,3/11/2024 0:00:00,"24-33-SSC03","S-332","DELSME",,,,,,,,,,,2.31,"y",,9.48e-03,1,2,,,1,
613,"EDSM",,2024,3,3/13/2024 0:00:00,"24-33-LSR02","S-333","DELSME",,,,,,,,,,,4.12,"y",,3.11e-03,1,2,,,1,
614,"EDSM",,2024,3,3/25/2024 0:00:00,"24-35-LSR02","S-334","DELSME",,,,,,,,,,,3.65,"y",,0.01,1,3,1,,1,
620,"CVP",,2024,2,2/6/2024 0:00:00,"CVP","LF-1963","DELSME",,,,,,,,,,,1.36,"y",,2.71e-03,1,4,,,1,
621,"CVP",,2024,2,2/9/2024 0:00:00,"CVP","LF-1964","DELSME",,,,,,,,,,,2.74,"n",,,0,,,,,1
623,"CVP",,2024,2,2/12/2024 0:00:00,"CVP","LF-1966","DELSME",,,,,,,,,,,1.55,"y",,1.29e-03,1,4,,,1,
625,"CVP",,2024,2,2/13/2024 0:00:00,"CVP","LF-1968","DELSME",,,,,,,,,,,3.34,"y",,,2,2,,,1,
630,"EDSM",,2024,8,8/7/2024 0:00:00,"25-02-SB04","S-341","DELSME",,,,,,,,,,,0.89,"Y",,7.1e-03,2,3,,,1,
632,"CVP",,2023,2,2/18/2023 0:00:00,"CVP","S-620","DELSME",12/30/1899 14:00:00,,10.00,,,,,,,,2.10,"Y",76.00,,1,2,,,1,
643,"DJFMP",,2024,12,12/19/2024 0:00:00,"SR012B","S-284","DELSME",,,,,,,,,,,1.88,"Y",,,4,3,,,1,
644,"EDSM",,2024,12,12/19/2024 0:00:00,"25-21-LSR05","S-271","DELSME",,,,,,,,,,,2.66,"Y",,,4,2,,,1,
654,"EDSM",,2024,12,12/31/2024 0:00:00,"25-23-SB02","S-346","DELSME",,,,,,,,,,,2.29,"y",,0.03,4,3,,,,1
703,"EDSM",,2024,12,12/19/2024 0:00:00,"25-21-LSR04","S-274","DELSME",,,,,,,,,,,1.86,"Y",,0.02,3,3,,,,1
