"UniqueID","DietStudy","LogNumber","PreyCategory","PreyNumber","TotalNumberOfPrey","totprey","sumcheck"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Calanoid copepodid",20,146,292,"N"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Pseudodiaptomus copepodid",40,146,292,"N"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Pseudodiaptomus forbesi",212,146,292,"N"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Unid calanoid",16,146,292,"N"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Unid cladocera",2,146,292,"N"
"FLaSH 1277 STN 2012-06-11 719 5146","FLaSH","1277","Unid copepod",2,146,292,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Cyclopoid copepodid",6,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Diaphanosoma spp",4,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Eurytemora spp",2,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Limnoithona spp",6,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Pseudodiaptomus copepodid",178,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Pseudodiaptomus forbesi",292,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Sinocalanus nauplii",2,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Sinocalanus spp",18,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Unid calanoid",18,266,532,"N"
"FLaSH 1278 STN 2012-06-11 719 5148","FLaSH","1278","Unid copepod",6,266,532,"N"
"FLaSH 1279 STN 2012-06-11 719 5150","FLaSH","1279","Pseudodiaptomus copepodid",4,10,20,"N"
"FLaSH 1279 STN 2012-06-11 719 5150","FLaSH","1279","Pseudodiaptomus forbesi",6,10,20,"N"
"FLaSH 1279 STN 2012-06-11 719 5150","FLaSH","1279","Sinocalanus spp",10,10,20,"N"
"FLaSH 1408 STN 2012-06-11 719 5152","FLaSH","1408","Pseudodiaptomus copepodid",8,40,80,"N"
"FLaSH 1408 STN 2012-06-11 719 5152","FLaSH","1408","Pseudodiaptomus forbesi",32,40,80,"N"
"FLaSH 1408 STN 2012-06-11 719 5152","FLaSH","1408","Sinocalanus spp",10,40,80,"N"
"FLaSH 1408 STN 2012-06-11 719 5152","FLaSH","1408","Unid copepod",30,40,80,"N"
"FLaSH 2564 SKT 2022-02-18 606 S302","FLaSH","2564","Acanthocyclops spp",40,94,376,"N"
"FLaSH 2564 SKT 2022-02-18 606 S302","FLaSH","2564","Cyclopoid copepodid",72,94,376,"N"
"FLaSH 2564 SKT 2022-02-18 606 S302","FLaSH","2564","Daphnia spp",128,94,376,"N"
"FLaSH 2564 SKT 2022-02-18 606 S302","FLaSH","2564","Pseudodiaptomus copepodid",68,94,376,"N"
"FLaSH 2564 SKT 2022-02-18 606 S302","FLaSH","2564","Pseudodiaptomus forbesi",68,94,376,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Acanthocyclops spp",92,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Cyclopoid copepodid",472,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Daphnia spp",228,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Eurytemora copepodid",72,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Eurytemora spp",48,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Limnoithona copepodid",4,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Other cladocera",4,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Other cyclopoid",4,246,984,"N"
"FLaSH 2565 SKT 2022-02-18 606 S303","FLaSH","2565","Unid cladocera",60,246,984,"N"
"FLaSH 2566 SKT 2022-02-18 606 S304","FLaSH","2566","Acanthocyclops spp",148,183,732,"N"
"FLaSH 2566 SKT 2022-02-18 606 S304","FLaSH","2566","Cyclopoid copepodid",164,183,732,"N"
"FLaSH 2566 SKT 2022-02-18 606 S304","FLaSH","2566","Daphnia spp",84,183,732,"N"
"FLaSH 2566 SKT 2022-02-18 606 S304","FLaSH","2566","Eurytemora copepodid",108,183,732,"N"
"FLaSH 2566 SKT 2022-02-18 606 S304","FLaSH","2566","Eurytemora spp",228,183,732,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Acanthocyclops spp",28,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Copepod nauplii",4,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Cyclopoid copepodid",32,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Daphnia spp",92,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Eurytemora copepodid",4,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Eurytemora spp",20,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Nippoleucon hinumensis",4,58,232,"N"
"FLaSH 2567 SKT 2022-02-18 606 S305","FLaSH","2567","Unid cladocera",48,58,232,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Bosmina spp",2,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Diacyclops spp",6,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Eurytemora copepodid",24,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Eurytemora spp",208,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Other cladocera",6,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Pseudodiaptomus forbesi",2,126,252,"N"
"FLaSH 2569 SKT 2022-03-16 719 S307","FLaSH","2569","Sinocalanus spp",4,126,252,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Acanthocyclops spp",4,134,268,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Eurytemora copepodid",12,134,268,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Eurytemora spp",244,134,268,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Other cyclopoid",2,134,268,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Pseudodiaptomus forbesi",4,134,268,"N"
"FLaSH 2570 SKT 2022-03-16 719 S308","FLaSH","2570","Sinocalanus spp",2,134,268,"N"
"FLaSH 2571 SKT 2022-03-17 609 S309","FLaSH","2571","Chironomid larvae",4,27,108,"N"
"FLaSH 2571 SKT 2022-03-17 609 S309","FLaSH","2571","Daphnia spp",84,27,108,"N"
"FLaSH 2571 SKT 2022-03-17 609 S309","FLaSH","2571","Unid cladocera",20,27,108,"N"
"FLaSH 2572 SKT 2022-03-17 609 S310","FLaSH","2572","Daphnia spp",88,26,104,"N"
"FLaSH 2572 SKT 2022-03-17 609 S310","FLaSH","2572","Eurytemora spp",4,26,104,"N"
"FLaSH 2572 SKT 2022-03-17 609 S310","FLaSH","2572","Unid cladocera",12,26,104,"N"
"FLaSH 2573 SKT 2022-03-17 609 S311","FLaSH","2573","Corophium type",4,60,240,"N"
"FLaSH 2573 SKT 2022-03-17 609 S311","FLaSH","2573","Daphnia spp",168,60,240,"N"
"FLaSH 2573 SKT 2022-03-17 609 S311","FLaSH","2573","Unid cladocera",68,60,240,"N"
"FLaSH 2574 SKT 2022-03-17 609 S312","FLaSH","2574","Corophium type",4,48,192,"N"
"FLaSH 2574 SKT 2022-03-17 609 S312","FLaSH","2574","Daphnia spp",172,48,192,"N"
"FLaSH 2574 SKT 2022-03-17 609 S312","FLaSH","2574","Unid cladocera",16,48,192,"N"
"FLaSH 2575 SKT 2022-03-17 606 S313","FLaSH","2575","Cyclopoid copepodid",4,55,220,"N"
"FLaSH 2575 SKT 2022-03-17 606 S313","FLaSH","2575","Daphnia spp",212,55,220,"N"
"FLaSH 2575 SKT 2022-03-17 606 S313","FLaSH","2575","Eurytemora spp",4,55,220,"N"
"FLaSH 2576 SKT 2022-03-17 606 S314","FLaSH","2576","Acanthocyclops spp",8,108,432,"N"
"FLaSH 2576 SKT 2022-03-17 606 S314","FLaSH","2576","Cyclopoid copepodid",52,108,432,"N"
"FLaSH 2576 SKT 2022-03-17 606 S314","FLaSH","2576","Daphnia spp",360,108,432,"N"
"FLaSH 2576 SKT 2022-03-17 606 S314","FLaSH","2576","Unid cladocera",12,108,432,"N"
"FLaSH 2577 SKT 2022-03-17 606 S315","FLaSH","2577","Acanthocyclops spp",8,87,348,"N"
"FLaSH 2577 SKT 2022-03-17 606 S315","FLaSH","2577","Cyclopoid copepodid",4,87,348,"N"
"FLaSH 2577 SKT 2022-03-17 606 S315","FLaSH","2577","Daphnia spp",264,87,348,"N"
"FLaSH 2577 SKT 2022-03-17 606 S315","FLaSH","2577","Eurytemora spp",12,87,348,"N"
"FLaSH 2577 SKT 2022-03-17 606 S315","FLaSH","2577","Unid cladocera",60,87,348,"N"
"FLaSH 2578 SKT 2022-03-17 606 S316","FLaSH","2578","Acanthocyclops spp",4,146,584,"N"
"FLaSH 2578 SKT 2022-03-17 606 S316","FLaSH","2578","Daphnia spp",520,146,584,"N"
"FLaSH 2578 SKT 2022-03-17 606 S316","FLaSH","2578","Unid cladocera",60,146,584,"N"
